1	1000	10
230	35	0	100
90	76	0	100
126	51	1	100
105	33	1	100


52	1000	10
323	244	0	100
329	222	0	100
262	233	1	100
297	147	1	100
233	128	1	100
241	99	1	100
283	80	1	100
230	67	1	100
300	40	1	100
146	53	0	100


53	1000	10
372	270	1	100
341	242	1	100
347	236	1	100
274	270	0	100
342	182	1	100
251	162	0	100
239	151	1	100
177	151	0	100
164	33	0	100
165	25	0	100


54	1000	10
347	166	0	100
239	214	1	100
256	199	1	100
296	171	0	100
318	122	0	100
205	176	0	100
337	44	1	100
230	36	0	100
80	61	0	100
66	65	0	100


55	1000	10
362	325	0	100
372	273	1	100
315	284	1	100
291	276	1	100
307	243	0	100
296	171	1	100
346	71	0	100
142	73	1	100
166	55	1	100
131	43	0	100


56	1000	10
329	238	1	100
307	237	0	100
282	244	1	100
306	218	0	100
232	201	1	100
246	175	0	100
270	97	0	100
336	70	0	100
290	69	1	100
177	55	0	100


57	1000	10
349	319	0	100
318	302	0	100
294	189	0	100
311	155	0	100
198	163	0	100
192	117	0	100
243	81	1	100
249	42	1	100
196	46	1	100
99	29	0	100


58	1000	10
325	325	0	100
250	244	1	100
368	102	0	100
272	131	1	100
253	136	0	100
233	143	1	100
291	98	1	100
369	72	1	100
151	43	0	100
116	34	0	100


59	1000	10
354	256	1	100
293	276	1	100
348	186	0	100
270	226	0	100
269	215	1	100
275	105	0	100
238	83	0	100
187	85	0	100
115	113	0	100
94	79	0	100


60	1000	10
288	231	0	100
259	221	1	100
313	170	0	100
284	180	1	100
256	186	1	100
217	177	1	100
248	149	0	100
161	132	1	100
229	88	1	100
156	58	0	100


61	1000	10
71	64	1	100
74	53	0	100
75	46	0	100
72	42	1	100
59	44	0	100
61	42	1	100
54	43	1	100
54	41	1	100
58	30	1	100
39	38	0	100


62	1000	10
73	62	1	100
68	62	0	100
68	58	0	100
68	47	0	100
52	49	0	100
75	26	0	100
66	26	1	100
46	36	0	100
62	26	1	100
41	39	0	100


63	1000	10
75	56	0	100
65	61	1	100
65	56	1	100
74	46	1	100
64	53	1	100
56	55	1	100
56	50	0	100
54	45	1	100
38	34	0	100
39	25	0	100


64	1000	10
70	67	1	100
68	68	1	100
72	44	1	100
64	48	1	100
56	53	0	100
71	36	0	100
59	38	0	100
65	33	0	100
55	36	0	100
32	26	0	100


65	1000	10
66	63	0	100
71	55	1	100
60	58	1	100
70	48	0	100
55	38	0	100
46	45	0	100
64	32	0	100
63	32	0	100
50	40	1	100
58	33	0	100


66	1000	10
73	50	0	100
75	43	0	100
68	43	1	100
70	35	1	100
54	45	1	100
54	39	1	100
69	26	1	100
69	25	1	100
46	28	1	100
27	26	0	100


67	1000	10
74	69	1	100
67	61	0	100
67	58	1	100
69	49	1	100
70	47	1	100
49	39	0	100
69	26	1	100
42	40	0	100
45	34	1	100
55	27	1	100


68	1000	10
74	73	0	100
69	60	1	100
61	49	0	100
59	49	0	100
65	39	0	100
71	29	0	100
72	26	0	100
62	28	1	100
43	30	0	100
34	29	1	100


69	1000	10
72	69	1	100
72	59	1	100
70	39	0	100
53	44	1	100
52	37	0	100
55	34	1	100
46	37	0	100
63	25	1	100
43	29	0	100
33	30	1	100


70	1000	10
69	59	1	100
69	51	0	100
74	39	0	100
52	42	1	100
48	39	1	100
60	27	0	100
43	37	1	100
49	31	0	100
41	32	1	100
42	26	1	100


71	1000	10
75	70	0	100
72	69	0	100
63	62	0	100
66	59	0	100
69	44	0	100
65	39	1	100
44	41	1	100
39	34	1	100
40	30	1	100
35	32	1	100


72	1000	10
66	59	1	100
68	43	0	100
51	49	0	100
68	33	1	100
57	38	0	100
67	30	1	100
49	34	0	100
54	25	1	100
53	25	1	100
37	27	1	100


73	1000	10
71	42	1	100
68	42	1	100
53	48	0	100
71	33	1	100
60	39	1	100
42	41	0	100
52	29	0	100
54	27	0	100
47	30	0	100
45	31	1	100


74	1000	10
71	59	0	100
68	50	1	100
58	56	1	100
60	53	0	100
55	51	1	100
75	27	1	100
56	34	0	100
58	28	1	100
42	32	0	100
32	27	1	100


75	1000	10
64	64	1	100
71	51	0	100
74	46	1	100
74	44	1	100
56	53	0	100
75	36	0	100
55	40	1	100
45	42	0	100
49	29	1	100
39	30	1	100


76	1000	10
73	68	0	100
68	59	0	100
69	57	1	100
70	56	0	100
68	56	0	100
59	46	0	100
68	34	1	100
65	32	0	100
53	27	1	100
41	31	1	100


77	1000	10
74	50	0	100
60	55	0	100
63	47	1	100
58	50	0	100
68	38	1	100
44	41	1	100
47	34	0	100
46	31	1	100
45	25	0	100
39	25	1	100


78	1000	10
61	51	1	100
64	43	1	100
63	43	1	100
57	43	1	100
57	41	0	100
58	35	0	100
59	30	0	100
47	34	0	100
48	27	0	100
43	28	1	100


79	1000	10
74	52	0	100
66	55	1	100
63	48	1	100
71	40	0	100
73	36	0	100
66	38	0	100
61	36	1	100
50	43	1	100
43	40	0	100
36	34	1	100


80	1000	10
66	62	1	100
64	60	0	100
69	43	0	100
64	45	0	100
56	40	1	100
55	37	1	100
69	27	1	100
47	36	1	100
51	32	1	100
39	29	1	100


81	1000	10
68	65	1	100
71	51	0	100
73	44	0	100
75	42	1	100
56	54	1	100
64	46	0	100
73	30	0	100
41	40	0	100
52	26	1	100
36	26	1	100


82	1000	10
65	55	0	100
66	49	0	100
66	43	0	100
63	37	0	100
58	34	0	100
51	35	1	100
63	27	0	100
39	36	1	100
42	25	0	100
39	26	0	100


83	1000	10
73	65	1	100
67	64	1	100
66	57	0	100
60	54	0	100
59	54	0	100
53	53	1	100
56	41	1	100
50	31	1	100
40	35	0	100
30	28	0	100


84	1000	10
70	69	0	100
59	52	1	100
55	47	0	100
68	31	1	100
64	29	1	100
44	41	0	100
64	26	1	100
58	28	0	100
42	36	0	100
43	26	0	100


85	1000	10
67	64	0	100
69	57	0	100
72	52	0	100
60	55	0	100
67	43	0	100
64	45	1	100
56	40	1	100
49	41	1	100
35	30	1	100
28	27	0	100


86	1000	10
69	39	1	100
68	38	0	100
66	39	1	100
47	45	0	100
64	28	0	100
45	35	0	100
44	26	0	100
37	28	0	100
35	26	1	100
28	28	0	100


87	1000	10
67	49	0	100
61	53	0	100
59	52	1	100
63	41	1	100
74	32	1	100
55	41	0	100
68	32	0	100
51	40	0	100
59	33	0	100
46	26	0	100


88	1000	10
62	56	1	100
72	48	1	100
63	53	1	100
69	48	0	100
68	44	1	100
57	48	1	100
74	28	1	100
46	33	1	100
41	30	0	100
28	25	0	100


89	1000	10
70	56	1	100
55	48	1	100
69	33	1	100
62	35	0	100
46	41	0	100
49	37	0	100
50	34	1	100
40	37	0	100
41	27	0	100
28	25	0	100


90	1000	10
70	67	0	100
74	46	0	100
66	48	1	100
60	50	1	100
62	39	0	100
51	43	1	100
69	28	0	100
52	37	1	100
42	37	1	100
50	27	0	100


91	1000	10
89	84	1	100
86	70	0	100
73	65	1	100
88	50	0	100
76	28	1	100
78	23	1	100
68	21	0	100
63	17	1	100
63	11	1	100
70	8	0	100


92	1000	10
83	71	1	100
76	50	0	100
90	23	0	100
50	34	1	100
51	18	0	100
30	29	0	100
32	24	1	100
37	9	0	100
44	6	0	100
19	6	0	100


93	1000	10
76	73	0	100
79	51	1	100
73	52	0	100
69	54	1	100
62	58	0	100
55	42	1	100
54	37	1	100
73	9	1	100
62	8	0	100
27	14	0	100


94	1000	10
87	68	1	100
79	61	1	100
76	54	0	100
76	53	0	100
74	32	1	100
67	24	1	100
82	19	1	100
34	30	1	100
57	11	1	100
66	9	0	100


95	1000	10
76	75	0	100
76	55	0	100
73	38	0	100
50	47	1	100
80	27	1	100
47	24	0	100
84	10	0	100
76	11	0	100
39	10	1	100
14	11	0	100


96	1000	10
88	60	0	100
61	53	0	100
77	37	0	100
76	35	1	100
55	34	0	100
35	33	1	100
72	14	0	100
49	18	1	100
40	16	1	100
53	10	0	100


97	1000	10
79	55	1	100
78	34	0	100
84	31	0	100
67	35	0	100
70	33	1	100
73	24	0	100
40	34	1	100
82	14	0	100
44	21	0	100
26	24	1	100


98	1000	10
81	76	0	100
80	45	1	100
74	47	1	100
78	43	1	100
77	38	1	100
82	34	0	100
83	24	1	100
58	34	0	100
81	10	0	100
56	6	1	100


99	1000	10
87	45	1	100
73	53	1	100
80	34	1	100
86	23	1	100
89	15	0	100
82	14	1	100
36	27	0	100
85	10	1	100
72	11	1	100
34	16	1	100


100	1000	10
66	50	1	100
50	37	0	100
60	27	1	100
41	36	0	100
40	30	0	100
32	31	0	100
30	29	0	100
34	17	0	100
54	8	1	100
25	10	1	100


101	1000	10
82	77	0	100
85	59	0	100
74	40	1	100
70	34	1	100
80	15	1	100
43	26	1	100
57	17	1	100
25	25	0	100
22	13	1	100
16	10	1	100


102	1000	10
74	61	1	100
81	44	1	100
73	46	1	100
56	38	1	100
65	32	1	100
77	20	1	100
51	24	1	100
65	14	1	100
37	24	0	100
12	10	1	100


103	1000	10
90	76	0	100
85	77	1	100
74	69	0	100
81	63	0	100
74	66	0	100
84	24	0	100
61	27	0	100
88	18	0	100
60	17	0	100
40	19	1	100


104	1000	10
81	62	0	100
84	56	1	100
72	51	0	100
57	44	1	100
47	40	1	100
77	22	1	100
39	37	0	100
63	22	1	100
45	18	1	100
41	10	1	100


105	1000	10
87	77	1	100
90	51	0	100
58	52	0	100
61	23	1	100
74	13	1	100
34	18	1	100
47	11	0	100
62	6	1	100
38	7	1	100
12	10	1	100


106	1000	10
82	71	0	100
83	26	0	100
77	25	0	100
56	16	0	100
70	11	0	100
84	7	0	100
37	12	1	100
68	6	0	100
50	6	1	100
22	13	1	100


107	1000	10
87	82	0	100
85	74	1	100
90	35	0	100
54	45	1	100
63	36	0	100
66	29	1	100
45	38	1	100
72	19	1	100
51	21	0	100
66	11	1	100


108	1000	10
83	57	1	100
83	53	1	100
84	32	0	100
53	46	1	100
35	27	1	100
73	10	0	100
57	11	0	100
43	11	0	100
29	7	0	100
8	6	1	100


109	1000	10
82	62	0	100
79	64	1	100
65	55	1	100
58	55	0	100
66	37	1	100
60	36	0	100
74	29	0	100
50	37	0	100
49	35	1	100
78	21	1	100


110	1000	10
87	78	1	100
86	48	0	100
79	27	1	100
63	32	1	100
42	39	0	100
38	33	1	100
87	14	1	100
35	30	1	100
86	11	1	100
26	18	1	100


111	1000	10
84	64	1	100
78	66	0	100
70	67	1	100
75	57	0	100
52	49	1	100
52	35	0	100
51	29	1	100
58	25	0	100
88	8	1	100
14	11	0	100


112	1000	10
86	57	0	100
71	46	1	100
78	32	1	100
45	44	0	100
70	24	1	100
67	22	1	100
43	28	0	100
63	18	0	100
47	17	0	100
72	11	0	100


113	1000	10
78	54	1	100
69	61	1	100
75	44	1	100
73	44	1	100
68	34	0	100
63	36	1	100
73	19	0	100
41	21	1	100
34	13	0	100
65	6	0	100


114	1000	10
87	52	0	100
76	57	1	100
76	48	1	100
78	34	0	100
82	23	0	100
39	29	0	100
59	18	1	100
59	7	0	100
16	11	1	100
20	6	0	100


115	1000	10
79	78	0	100
75	73	0	100
78	57	0	100
75	45	0	100
89	35	1	100
64	28	1	100
80	11	1	100
42	20	1	100
24	12	1	100
20	13	0	100


116	1000	10
79	78	1	100
88	58	0	100
77	42	0	100
51	33	1	100
50	23	1	100
77	9	1	100
83	6	1	100
45	11	1	100
42	7	0	100
34	7	0	100


117	1000	10
90	90	0	100
72	67	1	100
78	59	0	100
75	60	0	100
86	45	0	100
49	32	0	100
68	20	0	100
90	15	0	100
55	10	0	100
25	19	0	100


118	1000	10
89	83	1	100
85	50	1	100
64	47	0	100
81	36	0	100
61	44	1	100
66	19	1	100
62	18	0	100
30	13	1	100
32	12	0	100
26	9	0	100


119	1000	10
89	75	1	100
71	62	1	100
75	40	0	100
75	31	1	100
62	36	1	100
70	31	0	100
66	30	1	100
79	17	0	100
26	25	1	100
78	8	0	100


120	1000	10
70	69	0	100
81	46	0	100
71	48	0	100
84	36	0	100
82	28	0	100
66	33	0	100
46	35	1	100
53	29	0	100
61	12	1	100
32	11	0	100


121	1000	100
297	286	1	10
300	260	0	10
299	252	1	10
279	263	0	10
283	257	0	10
287	247	1	10
288	244	0	10
270	259	1	10
295	236	0	10
271	250	0	10
261	257	0	10
277	236	0	10
296	220	0	10
283	226	0	10
254	233	1	10
242	240	0	10
267	214	0	10
280	202	1	10
257	219	0	10
290	194	1	10
258	218	0	10
271	206	0	10
255	218	1	10
279	198	0	10
294	187	1	10
266	204	1	10
279	194	1	10
233	231	0	10
266	200	0	10
268	198	1	10
263	197	0	10
256	202	0	10
237	216	1	10
300	167	0	10
296	167	0	10
285	169	1	10
297	159	1	10
231	200	0	10
273	166	1	10
214	211	0	10
295	153	0	10
280	159	0	10
232	181	0	10
277	151	0	10
224	183	1	10
271	151	0	10
255	157	0	10
300	132	0	10
214	185	1	10
259	152	0	10
277	141	0	10
261	148	1	10
287	133	0	10
251	151	0	10
291	130	1	10
262	139	1	10
218	167	1	10
292	124	1	10
274	131	0	10
206	167	1	10
243	141	0	10
250	134	1	10
221	151	1	10
276	117	0	10
203	159	0	10
250	126	0	10
294	106	1	10
197	157	0	10
184	167	1	10
263	115	0	10
240	125	0	10
250	120	0	10
244	120	0	10
205	133	1	10
236	114	1	10
216	123	1	10
192	135	0	10
208	121	0	10
160	155	1	10
176	139	1	10
214	114	1	10
221	110	0	10
237	102	1	10
162	145	0	10
181	127	0	10
167	136	1	10
187	121	1	10
200	112	0	10
213	105	1	10
196	111	0	10
161	126	0	10
182	106	0	10
159	121	1	10
162	117	0	10
166	107	1	10
154	110	0	10
134	108	0	10
122	111	0	10
123	105	0	10
111	106	0	10


122	1000	100
297	274	1	10
297	272	1	10
287	269	1	10
272	265	1	10
274	255	1	10
269	246	0	10
269	245	0	10
273	241	0	10
288	223	0	10
298	206	0	10
295	208	1	10
278	220	0	10
280	217	1	10
247	240	1	10
271	218	1	10
289	200	0	10
266	217	0	10
286	201	0	10
277	199	0	10
284	191	1	10
265	204	1	10
278	191	1	10
234	219	0	10
266	191	1	10
238	213	0	10
287	170	0	10
255	189	0	10
225	209	0	10
277	165	0	10
283	161	0	10
221	205	1	10
250	177	0	10
285	153	0	10
268	161	0	10
280	152	0	10
297	142	0	10
204	202	1	10
205	199	1	10
207	192	0	10
237	167	1	10
212	186	1	10
208	188	1	10
260	149	0	10
238	162	0	10
286	134	1	10
228	167	0	10
246	154	0	10
205	181	0	10
210	176	1	10
218	169	0	10
203	175	0	10
222	158	1	10
291	120	0	10
219	158	1	10
190	179	0	10
281	121	1	10
204	162	0	10
227	142	1	10
185	172	0	10
237	132	1	10
235	129	1	10
274	110	1	10
282	102	1	10
259	110	0	10
224	127	0	10
185	152	0	10
203	137	0	10
195	142	0	10
202	134	1	10
256	105	0	10
265	101	1	10
199	134	1	10
222	120	1	10
243	109	1	10
173	152	1	10
187	137	0	10
167	149	1	10
162	153	1	10
179	138	1	10
168	147	1	10
199	124	1	10
167	147	1	10
200	122	0	10
183	131	0	10
229	104	0	10
212	106	0	10
183	122	0	10
164	135	1	10
205	108	0	10
153	140	1	10
173	122	1	10
184	110	0	10
143	131	1	10
156	116	1	10
161	110	1	10
174	100	1	10
145	114	1	10
142	102	1	10
134	105	0	10
104	100	1	10


123	1000	100
291	262	0	10
283	265	1	10
292	254	1	10
283	260	0	10
291	249	1	10
286	247	1	10
275	251	1	10
265	253	0	10
280	234	0	10
277	236	0	10
297	216	1	10
254	244	0	10
280	221	0	10
276	222	1	10
270	224	1	10
247	228	0	10
288	193	0	10
260	207	1	10
265	203	1	10
291	171	0	10
295	168	1	10
300	165	0	10
247	200	1	10
294	166	0	10
251	191	1	10
225	212	1	10
272	174	0	10
219	215	0	10
246	190	1	10
227	200	1	10
282	160	0	10
269	166	1	10
229	193	1	10
281	156	1	10
292	145	1	10
246	172	0	10
216	194	0	10
243	167	0	10
205	195	1	10
225	176	0	10
210	185	1	10
287	134	1	10
280	137	0	10
254	151	1	10
201	190	1	10
202	189	0	10
271	136	1	10
230	160	0	10
265	138	0	10
298	122	0	10
261	139	0	10
199	181	1	10
259	138	1	10
259	137	1	10
220	161	1	10
254	139	1	10
187	187	0	10
194	178	0	10
267	128	0	10
248	135	1	10
218	153	1	10
275	121	0	10
257	128	1	10
268	119	0	10
241	130	0	10
205	152	0	10
243	127	1	10
241	126	0	10
196	152	1	10
213	139	0	10
216	133	1	10
179	159	1	10
274	103	0	10
204	137	1	10
247	111	0	10
261	105	0	10
194	138	0	10
203	130	1	10
170	154	0	10
212	123	1	10
163	156	1	10
218	112	0	10
176	132	1	10
215	108	0	10
164	140	1	10
208	110	0	10
165	138	0	10
158	144	1	10
174	127	0	10
214	103	0	10
154	139	1	10
178	117	0	10
150	131	0	10
192	102	0	10
166	115	1	10
174	109	0	10
138	122	1	10
142	110	1	10
149	102	0	10
138	105	0	10


124	1000	100
290	290	1	10
291	281	1	10
299	272	1	10
296	268	0	10
279	273	0	10
275	273	1	10
299	248	1	10
273	270	1	10
268	267	1	10
276	259	0	10
276	256	1	10
289	243	0	10
258	251	1	10
279	231	1	10
259	243	1	10
274	228	0	10
255	241	0	10
291	211	1	10
272	224	0	10
257	235	1	10
263	227	0	10
247	229	1	10
250	224	0	10
297	181	0	10
243	221	0	10
238	225	0	10
258	206	1	10
261	203	1	10
289	173	0	10
268	185	0	10
259	188	1	10
226	199	0	10
247	182	0	10
222	202	0	10
259	173	1	10
219	200	0	10
224	190	0	10
280	152	1	10
255	166	0	10
235	176	1	10
256	161	0	10
234	176	0	10
218	186	0	10
238	169	0	10
243	163	0	10
208	187	0	10
239	160	1	10
200	191	0	10
200	190	0	10
199	188	0	10
242	149	1	10
298	120	1	10
245	145	0	10
209	169	0	10
240	146	0	10
198	175	1	10
209	165	1	10
183	177	0	10
271	119	0	10
262	121	0	10
288	110	0	10
180	176	1	10
226	140	1	10
253	125	0	10
259	122	0	10
227	139	0	10
202	155	1	10
267	114	0	10
202	150	0	10
206	145	0	10
232	126	0	10
201	144	0	10
210	137	1	10
172	166	1	10
244	117	1	10
215	131	0	10
195	144	1	10
251	111	1	10
267	103	0	10
249	109	1	10
221	122	1	10
211	127	1	10
251	105	0	10
235	112	0	10
255	103	1	10
170	153	1	10
241	107	1	10
218	113	1	10
231	105	0	10
203	118	0	10
225	106	0	10
192	115	0	10
153	141	0	10
200	100	0	10
188	103	1	10
193	100	1	10
147	129	1	10
161	116	0	10
141	113	1	10
130	108	1	10


125	1000	100
294	286	0	10
298	270	0	10
290	274	1	10
278	278	1	10
297	245	1	10
271	261	0	10
256	254	1	10
274	227	0	10
